date,year,month,day,fips,county,state,lat,long,tmax,tmin
1899-12-15,1899,12,15,6055,Napa County,CA,38.5,-122.49999999965232,12.5,4.11
1899-12-16,1899,12,16,6055,Napa County,CA,38.5,-122.49999999965232,12.5445,4.2894
1899-12-17,1899,12,17,6055,Napa County,CA,38.5,-122.49999999965232,12.5878,4.4574
1899-12-18,1899,12,18,6055,Napa County,CA,38.5,-122.49999999965232,12.6298,4.6144
1899-12-19,1899,12,19,6055,Napa County,CA,38.5,-122.49999999965232,12.6706,4.7604
1899-12-20,1899,12,20,6055,Napa County,CA,38.5,-122.49999999965232,12.7103,4.8959
1899-12-21,1899,12,21,6055,Napa County,CA,38.5,-122.49999999965232,12.7488,5.021
1899-12-22,1899,12,22,6055,Napa County,CA,38.5,-122.49999999965232,12.7864,5.136
1899-12-23,1899,12,23,6055,Napa County,CA,38.5,-122.49999999965232,12.8229,5.2411
1899-12-24,1899,12,24,6055,Napa County,CA,38.5,-122.49999999965232,12.8584,5.3365
1899-12-25,1899,12,25,6055,Napa County,CA,38.5,-122.49999999965232,12.8931,5.4226
1899-12-26,1899,12,26,6055,Napa County,CA,38.5,-122.49999999965232,12.9269,5.4996
1899-12-27,1899,12,27,6055,Napa County,CA,38.5,-122.49999999965232,12.9599,5.5676
1899-12-28,1899,12,28,6055,Napa County,CA,38.5,-122.49999999965232,12.9922,5.6271
1899-12-29,1899,12,29,6055,Napa County,CA,38.5,-122.49999999965232,13.0237,5.6781
1899-12-30,1899,12,30,6055,Napa County,CA,38.5,-122.49999999965232,13.0546,5.721
1899-12-31,1899,12,31,6055,Napa County,CA,38.5,-122.49999999965232,13.0849,5.7559
1900-01-01,1900,1,1,6055,Napa County,CA,38.5,-122.49999999965232,13.1146,5.7833
1900-01-02,1900,1,2,6055,Napa County,CA,38.5,-122.49999999965232,13.1438,5.8032
1900-01-03,1900,1,3,6055,Napa County,CA,38.5,-122.49999999965232,13.1726,5.8159
1900-01-04,1900,1,4,6055,Napa County,CA,38.5,-122.49999999965232,13.201,5.8218
1900-01-05,1900,1,5,6055,Napa County,CA,38.5,-122.49999999965232,13.229,5.8209
1900-01-06,1900,1,6,6055,Napa County,CA,38.5,-122.49999999965232,13.2566,5.8137
1900-01-07,1900,1,7,6055,Napa County,CA,38.5,-122.49999999965232,13.2841,5.8002
1900-01-08,1900,1,8,6055,Napa County,CA,38.5,-122.49999999965232,13.3113,5.7809
1900-01-09,1900,1,9,6055,Napa County,CA,38.5,-122.49999999965232,13.3383,5.7558
1900-01-10,1900,1,10,6055,Napa County,CA,38.5,-122.49999999965232,13.3653,5.7253
1900-01-11,1900,1,11,6055,Napa County,CA,38.5,-122.49999999965232,13.3922,5.6897
1900-01-12,1900,1,12,6055,Napa County,CA,38.5,-122.49999999965232,13.419,5.6491
1900-01-13,1900,1,13,6055,Napa County,CA,38.5,-122.49999999965232,13.4459,5.6037
1900-01-14,1900,1,14,6055,Napa County,CA,38.5,-122.49999999965232,13.4729,5.554
1900-01-15,1900,1,15,6055,Napa County,CA,38.5,-122.49999999965232,13.5,5.5
1900-01-16,1900,1,16,6055,Napa County,CA,38.5,-122.49999999965232,13.5273,5.4421
1900-01-17,1900,1,17,6055,Napa County,CA,38.5,-122.49999999965232,13.555,5.3807
1900-01-18,1900,1,18,6055,Napa County,CA,38.5,-122.49999999965232,13.5832,5.3163
1900-01-19,1900,1,19,6055,Napa County,CA,38.5,-122.49999999965232,13.6122,5.2494
1900-01-20,1900,1,20,6055,Napa County,CA,38.5,-122.49999999965232,13.6422,5.1804
1900-01-21,1900,1,21,6055,Napa County,CA,38.5,-122.49999999965232,13.6732,5.1098
1900-01-22,1900,1,22,6055,Napa County,CA,38.5,-122.49999999965232,13.7055,5.0381
1900-01-23,1900,1,23,6055,Napa County,CA,38.5,-122.49999999965232,13.7394,4.9658
1900-01-24,1900,1,24,6055,Napa County,CA,38.5,-122.49999999965232,13.7749,4.8932
1900-01-25,1900,1,25,6055,Napa County,CA,38.5,-122.49999999965232,13.8123,4.821
1900-01-26,1900,1,26,6055,Napa County,CA,38.5,-122.49999999965232,13.8517,4.7495
1900-01-27,1900,1,27,6055,Napa County,CA,38.5,-122.49999999965232,13.8934,4.6793
1900-01-28,1900,1,28,6055,Napa County,CA,38.5,-122.49999999965232,13.9375,4.6108
1900-01-29,1900,1,29,6055,Napa County,CA,38.5,-122.49999999965232,13.9842,4.5445
1900-01-30,1900,1,30,6055,Napa County,CA,38.5,-122.49999999965232,14.0337,4.4808
1900-01-31,1900,1,31,6055,Napa County,CA,38.5,-122.49999999965232,14.0862,4.4203
1900-02-01,1900,2,1,6055,Napa County,CA,38.5,-122.49999999965232,14.1419,4.3634
1900-02-02,1900,2,2,6055,Napa County,CA,38.5,-122.49999999965232,14.201,4.3106
1900-02-03,1900,2,3,6055,Napa County,CA,38.5,-122.49999999965232,14.2636,4.2623
1900-02-04,1900,2,4,6055,Napa County,CA,38.5,-122.49999999965232,14.3299,4.219
1900-02-05,1900,2,5,6055,Napa County,CA,38.5,-122.49999999965232,14.4002,4.1812
1900-02-06,1900,2,6,6055,Napa County,CA,38.5,-122.49999999965232,14.4746,4.1495
1900-02-07,1900,2,7,6055,Napa County,CA,38.5,-122.49999999965232,14.5533,4.1241
1900-02-08,1900,2,8,6055,Napa County,CA,38.5,-122.49999999965232,14.6364,4.1057
1900-02-09,1900,2,9,6055,Napa County,CA,38.5,-122.49999999965232,14.7243,4.0946
1900-02-10,1900,2,10,6055,Napa County,CA,38.5,-122.49999999965232,14.817,4.0914
1900-02-11,1900,2,11,6055,Napa County,CA,38.5,-122.49999999965232,14.9148,4.0966
1900-02-12,1900,2,12,6055,Napa County,CA,38.5,-122.49999999965232,15.0177,4.1106
1900-02-13,1900,2,13,6055,Napa County,CA,38.5,-122.49999999965232,15.1262,4.1338
1900-02-14,1900,2,14,6055,Napa County,CA,38.5,-122.49999999965232,15.2402,4.1668
1900-02-15,1900,2,15,6055,Napa County,CA,38.5,-122.49999999965232,15.36,4.21
1900-02-16,1900,2,16,6055,Napa County,CA,38.5,-122.49999999965232,15.4857,4.2637
1900-02-17,1900,2,17,6055,Napa County,CA,38.5,-122.49999999965232,15.6168,4.3273
1900-02-18,1900,2,18,6055,Napa County,CA,38.5,-122.49999999965232,15.7526,4.4
1900-02-19,1900,2,19,6055,Napa County,CA,38.5,-122.49999999965232,15.8928,4.481
1900-02-20,1900,2,20,6055,Napa County,CA,38.5,-122.49999999965232,16.0365,4.5696
1900-02-21,1900,2,21,6055,Napa County,CA,38.5,-122.49999999965232,16.1833,4.6648
1900-02-22,1900,2,22,6055,Napa County,CA,38.5,-122.49999999965232,16.3326,4.766
1900-02-23,1900,2,23,6055,Napa County,CA,38.5,-122.49999999965232,16.4838,4.8723
1900-02-24,1900,2,24,6055,Napa County,CA,38.5,-122.49999999965232,16.6362,4.983
1900-02-25,1900,2,25,6055,Napa County,CA,38.5,-122.49999999965232,16.7894,5.0972
1900-02-26,1900,2,26,6055,Napa County,CA,38.5,-122.49999999965232,16.9427,5.2141
1900-02-27,1900,2,27,6055,Napa County,CA,38.5,-122.49999999965232,17.0955,5.3329
1900-02-28,1900,2,28,6055,Napa County,CA,38.5,-122.49999999965232,17.2473,5.453
1900-03-01,1900,3,1,6055,Napa County,CA,38.5,-122.49999999965232,17.3974,5.5733
1900-03-02,1900,3,2,6055,Napa County,CA,38.5,-122.49999999965232,17.5454,5.6933
1900-03-03,1900,3,3,6055,Napa County,CA,38.5,-122.49999999965232,17.6905,5.8119
1900-03-04,1900,3,4,6055,Napa County,CA,38.5,-122.49999999965232,17.8322,5.9286
1900-03-05,1900,3,5,6055,Napa County,CA,38.5,-122.49999999965232,17.97,6.0424
1900-03-06,1900,3,6,6055,Napa County,CA,38.5,-122.49999999965232,18.1032,6.1526
1900-03-07,1900,3,7,6055,Napa County,CA,38.5,-122.49999999965232,18.2313,6.2584
1900-03-08,1900,3,8,6055,Napa County,CA,38.5,-122.49999999965232,18.3536,6.359
1900-03-09,1900,3,9,6055,Napa County,CA,38.5,-122.49999999965232,18.4696,6.4535
